 "Test Predictions" Actuals
0 0.38707048 0.06666666666666665
1 0.72196615 1.0
2 0.42415276 0.5
3 0.42527574 0.33333333333333337
4 0.61315316 0.6666666666666666
5 0.6833791 0.6666666666666666
6 0.63369995 0.8333333333333333
7 0.45605534 0.33333333333333337
8 0.5631643 0.33333333333333337
9 0.60251343 0.6666666666666666
10 0.5016293 0.6666666666666666
11 0.40916753 0.5
12 0.3659887 0.5
13 0.62917 0.5
14 0.48654667 0.33333333333333337
15 0.46446136 0.5
16 0.4775119 0.33333333333333337
17 0.44283023 0.6666666666666666
18 0.48931 0.6666666666666666
19 0.4669062 0.5
20 0.45364046 0.6666666666666666
21 0.6226128 0.33333333333333337
22 0.599528 0.5
23 0.51888126 0.6666666666666666
24 0.60711676 0.33333333333333337
25 0.6103688 0.5
26 0.44375673 0.5
27 0.5978165 0.6666666666666666
28 0.5269565 0.5666666666666667
29 0.48682165 0.5
30 0.5171727 0.6666666666666666
31 0.62300324 0.6666666666666666
32 0.50137174 0.5333333333333333
33 0.4796836 0.33333333333333337
34 0.46962568 0.33333333333333337
35 0.44990945 0.33333333333333337
36 0.40088382 0.16666666666666669
37 0.45492336 0.5
38 0.6166504 0.16666666666666669
39 0.53236866 0.55
40 0.5781877 0.5
41 0.50041217 0.8333333333333333
42 0.49785218 1.0
43 0.5738595 0.8333333333333333
44 0.41899893 0.5
45 0.39678478 0.33333333333333337
46 0.52372736 0.6666666666666666
47 0.52731895 0.5
48 0.48445985 0.33333333333333337
49 0.43051314 0.33333333333333337
50 0.44822717 0.8333333333333333
51 0.39409283 0.5
52 0.6577974 0.6666666666666666
53 0.46946672 0.33333333333333337
54 0.5408542 0.5
55 0.49424326 0.33333333333333337
56 0.4996686 0.33333333333333337
57 0.4725641 0.33333333333333337
58 0.5387495 0.5
59 0.5167734 0.5
60 0.5345287 0.6666666666666666
61 0.5587559 0.33333333333333337
62 0.6350616 0.5
63 0.43293554 0.5
64 0.57193273 0.5
65 0.4484904 0.5
66 0.46840647 0.5
67 0.5780254 0.5
68 0.47307506 0.5
69 0.5020071 0.5
