index 0.0
record_id 0.0
building_id 0.0
ta 0.0
season 0.07795733440945027
thermal_sensation 2.6248693068217257
rh 6.235669607645321
clo 6.372324229139534
met 13.470110240842306
vel 14.23225782783352
thermal_preference 21.132857640735917
timestamp 27.213529724673037
tr 34.842342755470774
gender 35.556798796705614
t_out 36.43450666764495
t_out_isd 39.619751637104024
thermal_acceptability 40.55523965001743
t_mot_isd 40.838637489223544
rh_out_isd 43.8936478529633
pmv_ce 49.2176752205734
ppd_ce 49.2176752205734
set 49.452464368912445
